area,resource,date,needed_quantity,distributed_quantity,program,priority
Lahore,Clothing,2025-01-01,510,385,Winter Aid,Low
Lahore,Clothing,2025-02-01,490,442,Winter Aid,High
Lahore,Clothing,2025-03-01,485,389,Winter Aid,Low
Lahore,Clothing,2025-04-01,441,422,Winter Aid,Low
Lahore,Clothing,2025-05-01,484,382,Winter Aid,Low
Lahore,Clothing,2025-06-01,466,397,Winter Aid,Low
Lahore,Clothing,2025-07-01,461,437,Winter Aid,Medium
Lahore,Clothing,2025-08-01,483,480,Winter Aid,High
Lahore,Clothing,2025-09-01,502,412,Winter Aid,Medium
Lahore,Clothing,2025-10-01,529,411,Winter Aid,Low
Lahore,Clothing,2025-11-01,436,372,Winter Aid,Medium
Lahore,Clothing,2025-12-01,497,480,Winter Aid,High
Lahore,Clothing,2026-01-01,484,375,Winter Aid,High
Lahore,Clothing,2026-02-01,498,397,Winter Aid,Low
Lahore,Clothing,2026-03-01,475,357,Winter Aid,Medium
Lahore,Clothing,2026-04-01,489,381,Winter Aid,Medium
Lahore,Clothing,2026-05-01,474,453,Winter Aid,Medium
Lahore,Clothing,2026-06-01,441,417,Winter Aid,High
Lahore,Clothing,2026-07-01,487,399,Winter Aid,High
Lahore,Clothing,2026-08-01,447,378,Winter Aid,Medium
Lahore,Clothing,2026-09-01,488,490,Winter Aid,High
Lahore,Clothing,2026-10-01,499,472,Winter Aid,High
Lahore,Clothing,2026-11-01,449,386,Winter Aid,Medium
Lahore,Clothing,2026-12-01,473,392,Winter Aid,High
Lahore,Water,2025-01-01,319,299,WASH Program,Medium
Lahore,Water,2025-02-01,302,298,WASH Program,Medium
Lahore,Water,2025-03-01,347,311,WASH Program,Low
Lahore,Water,2025-04-01,307,248,WASH Program,Medium
Lahore,Water,2025-05-01,291,220,WASH Program,High
Lahore,Water,2025-06-01,320,301,WASH Program,Low
Lahore,Water,2025-07-01,304,316,WASH Program,Medium
Lahore,Water,2025-08-01,317,329,WASH Program,Low
Lahore,Water,2025-09-01,299,258,WASH Program,High
Lahore,Water,2025-10-01,317,318,WASH Program,Medium
Lahore,Water,2025-11-01,291,266,WASH Program,High
Lahore,Water,2025-12-01,298,307,WASH Program,Low
Lahore,Water,2026-01-01,315,245,WASH Program,Medium
Lahore,Water,2026-02-01,332,310,WASH Program,Low
Lahore,Water,2026-03-01,322,313,WASH Program,Low
Lahore,Water,2026-04-01,306,293,WASH Program,Medium
Lahore,Water,2026-05-01,291,243,WASH Program,Low
Lahore,Water,2026-06-01,327,324,WASH Program,High
Lahore,Water,2026-07-01,310,317,WASH Program,Low
Lahore,Water,2026-08-01,309,279,WASH Program,High
Lahore,Water,2026-09-01,327,309,WASH Program,High
Lahore,Water,2026-10-01,306,293,WASH Program,Low
Lahore,Water,2026-11-01,309,263,WASH Program,High
Lahore,Water,2026-12-01,308,265,WASH Program,Medium
Lahore,Shelter,2025-01-01,273,207,Shelter Support,High
Lahore,Shelter,2025-02-01,259,230,Shelter Support,High
Lahore,Shelter,2025-03-01,246,228,Shelter Support,High
Lahore,Shelter,2025-04-01,275,208,Shelter Support,Medium
Lahore,Shelter,2025-05-01,258,233,Shelter Support,Medium
Lahore,Shelter,2025-06-01,266,260,Shelter Support,Medium
Lahore,Shelter,2025-07-01,278,215,Shelter Support,Low
Lahore,Shelter,2025-08-01,253,193,Shelter Support,Medium
Lahore,Shelter,2025-09-01,303,285,Shelter Support,High
Lahore,Shelter,2025-10-01,295,285,Shelter Support,Medium
Lahore,Shelter,2025-11-01,271,229,Shelter Support,Medium
Lahore,Shelter,2025-12-01,276,272,Shelter Support,High
Lahore,Shelter,2026-01-01,264,204,Shelter Support,Low
Lahore,Shelter,2026-02-01,248,187,Shelter Support,Medium
Lahore,Shelter,2026-03-01,260,208,Shelter Support,Low
Lahore,Shelter,2026-04-01,293,233,Shelter Support,Low
Lahore,Shelter,2026-05-01,275,265,Shelter Support,Low
Lahore,Shelter,2026-06-01,249,236,Shelter Support,High
Lahore,Shelter,2026-07-01,276,257,Shelter Support,Low
Lahore,Shelter,2026-08-01,293,256,Shelter Support,Low
Lahore,Shelter,2026-09-01,261,255,Shelter Support,High
Lahore,Shelter,2026-10-01,253,190,Shelter Support,Low
Lahore,Shelter,2026-11-01,267,208,Shelter Support,Low
Lahore,Shelter,2026-12-01,296,265,Shelter Support,High
Lahore,Hygiene,2025-01-01,205,180,WASH Program,High
Lahore,Hygiene,2025-02-01,218,189,WASH Program,Medium
Lahore,Hygiene,2025-03-01,236,180,WASH Program,Medium
Lahore,Hygiene,2025-04-01,234,201,WASH Program,Medium
Lahore,Hygiene,2025-05-01,220,221,WASH Program,Low
Lahore,Hygiene,2025-06-01,245,232,WASH Program,Low
Lahore,Hygiene,2025-07-01,217,200,WASH Program,Low
Lahore,Hygiene,2025-08-01,220,227,WASH Program,High
Lahore,Hygiene,2025-09-01,199,187,WASH Program,Low
Lahore,Hygiene,2025-10-01,234,207,WASH Program,Medium
Lahore,Hygiene,2025-11-01,227,196,WASH Program,High
Lahore,Hygiene,2025-12-01,220,228,WASH Program,High
Lahore,Hygiene,2026-01-01,214,180,WASH Program,High
Lahore,Hygiene,2026-02-01,222,222,WASH Program,Medium
Lahore,Hygiene,2026-03-01,213,204,WASH Program,Medium
Lahore,Hygiene,2026-04-01,216,202,WASH Program,Medium
Lahore,Hygiene,2026-05-01,223,221,WASH Program,High
Lahore,Hygiene,2026-06-01,226,188,WASH Program,High
Lahore,Hygiene,2026-07-01,226,224,WASH Program,Low
Lahore,Hygiene,2026-08-01,212,221,WASH Program,Low
Lahore,Hygiene,2026-09-01,200,196,WASH Program,Medium
Lahore,Hygiene,2026-10-01,206,175,WASH Program,High
Lahore,Hygiene,2026-11-01,237,231,WASH Program,Low
Lahore,Hygiene,2026-12-01,215,167,WASH Program,Medium
Faisalabad,Food,2025-01-01,321,320,Nutrition Program,Medium
Faisalabad,Food,2025-02-01,335,283,Nutrition Program,Low
Faisalabad,Food,2025-03-01,317,238,Nutrition Program,Medium
Faisalabad,Food,2025-04-01,334,341,Nutrition Program,High
Faisalabad,Food,2025-05-01,316,327,Nutrition Program,Medium
Faisalabad,Food,2025-06-01,311,321,Nutrition Program,High
Faisalabad,Food,2025-07-01,351,310,Nutrition Program,High
Faisalabad,Food,2025-08-01,338,283,Nutrition Program,Low
Faisalabad,Food,2025-09-01,340,331,Nutrition Program,Low
Faisalabad,Food,2025-10-01,301,297,Nutrition Program,Low
Faisalabad,Food,2025-11-01,309,282,Nutrition Program,Medium
Faisalabad,Food,2025-12-01,320,282,Nutrition Program,Low
Faisalabad,Food,2026-01-01,316,248,Nutrition Program,Low
Faisalabad,Food,2026-02-01,333,264,Nutrition Program,Medium
Faisalabad,Food,2026-03-01,330,257,Nutrition Program,Low
Faisalabad,Food,2026-04-01,342,265,Nutrition Program,Medium
Faisalabad,Food,2026-05-01,314,312,Nutrition Program,Medium
Faisalabad,Food,2026-06-01,324,311,Nutrition Program,High
Faisalabad,Food,2026-07-01,339,350,Nutrition Program,High
Faisalabad,Food,2026-08-01,313,327,Nutrition Program,Low
Faisalabad,Food,2026-09-01,310,240,Nutrition Program,Medium
Faisalabad,Food,2026-10-01,342,336,Nutrition Program,High
Faisalabad,Food,2026-11-01,288,294,Nutrition Program,High
Faisalabad,Food,2026-12-01,346,271,Nutrition Program,High
Faisalabad,Medicine,2025-01-01,655,583,Health Support,High
Faisalabad,Medicine,2025-02-01,665,509,Health Support,Low
Faisalabad,Medicine,2025-03-01,708,654,Health Support,High
Faisalabad,Medicine,2025-04-01,691,717,Health Support,Low
Faisalabad,Medicine,2025-05-01,617,623,Health Support,Medium
Faisalabad,Medicine,2025-06-01,637,520,Health Support,Low
Faisalabad,Medicine,2025-07-01,668,699,Health Support,High
Faisalabad,Medicine,2025-08-01,698,538,Health Support,Medium
Faisalabad,Medicine,2025-09-01,681,617,Health Support,Medium
Faisalabad,Medicine,2025-10-01,667,626,Health Support,Low
Faisalabad,Medicine,2025-11-01,651,610,Health Support,Medium
Faisalabad,Medicine,2025-12-01,727,672,Health Support,Low
Faisalabad,Medicine,2026-01-01,662,619,Health Support,Medium
Faisalabad,Medicine,2026-02-01,698,581,Health Support,Low
Faisalabad,Medicine,2026-03-01,660,564,Health Support,High
Faisalabad,Medicine,2026-04-01,620,573,Health Support,Low
Faisalabad,Medicine,2026-05-01,602,598,Health Support,Low
Faisalabad,Medicine,2026-06-01,678,647,Health Support,High
Faisalabad,Medicine,2026-07-01,690,604,Health Support,Low
Faisalabad,Medicine,2026-08-01,715,736,Health Support,Low
Faisalabad,Medicine,2026-09-01,663,658,Health Support,Medium
Faisalabad,Medicine,2026-10-01,656,686,Health Support,Low
Faisalabad,Medicine,2026-11-01,675,583,Health Support,Medium
Faisalabad,Medicine,2026-12-01,629,654,Health Support,High
Faisalabad,Clothing,2025-01-01,419,412,Winter Aid,Low
Faisalabad,Clothing,2025-02-01,363,349,Winter Aid,Low
Faisalabad,Clothing,2025-03-01,411,402,Winter Aid,Low
Faisalabad,Clothing,2025-04-01,419,413,Winter Aid,Low
Faisalabad,Clothing,2025-05-01,445,438,Winter Aid,Low
Faisalabad,Clothing,2025-06-01,407,385,Winter Aid,Low
Faisalabad,Clothing,2025-07-01,385,381,Winter Aid,Low
Faisalabad,Clothing,2025-08-01,435,439,Winter Aid,Low
Faisalabad,Clothing,2025-09-01,396,385,Winter Aid,Low
Faisalabad,Clothing,2025-10-01,419,427,Winter Aid,Low
Faisalabad,Clothing,2025-11-01,416,420,Winter Aid,Low
Faisalabad,Clothing,2025-12-01,417,418,Winter Aid,Low
Faisalabad,Clothing,2026-01-01,435,427,Winter Aid,Low
Faisalabad,Clothing,2026-02-01,392,382,Winter Aid,Low
Faisalabad,Clothing,2026-03-01,444,442,Winter Aid,Low
Faisalabad,Clothing,2026-04-01,405,394,Winter Aid,Low
Faisalabad,Clothing,2026-05-01,378,381,Winter Aid,Low
Faisalabad,Clothing,2026-06-01,432,422,Winter Aid,Low
Faisalabad,Clothing,2026-07-01,418,391,Winter Aid,Low
Faisalabad,Clothing,2026-08-01,403,405,Winter Aid,Low
Faisalabad,Clothing,2026-09-01,434,428,Winter Aid,Low
Faisalabad,Clothing,2026-10-01,413,411,Winter Aid,Low
Faisalabad,Clothing,2026-11-01,408,386,Winter Aid,Low
Faisalabad,Clothing,2026-12-01,413,408,Winter Aid,Low
Faisalabad,Water,2025-01-01,559,459,WASH Program,Medium
Faisalabad,Water,2025-02-01,491,379,WASH Program,Medium
Faisalabad,Water,2025-03-01,500,426,WASH Program,High
Faisalabad,Water,2025-04-01,542,552,WASH Program,Medium
Faisalabad,Water,2025-05-01,584,468,WASH Program,High
Faisalabad,Water,2025-06-01,521,420,WASH Program,Low
Faisalabad,Water,2025-07-01,508,394,WASH Program,Low
Faisalabad,Water,2025-08-01,515,404,WASH Program,Medium
Faisalabad,Water,2025-09-01,491,421,WASH Program,Low
Faisalabad,Water,2025-10-01,524,472,WASH Program,High
Faisalabad,Water,2025-11-01,527,521,WASH Program,Low
Faisalabad,Water,2025-12-01,531,498,WASH Program,High
Faisalabad,Water,2026-01-01,552,537,WASH Program,Low
Faisalabad,Water,2026-02-01,513,413,WASH Program,Medium
Faisalabad,Water,2026-03-01,515,461,WASH Program,Low
Faisalabad,Water,2026-04-01,497,464,WASH Program,Low
Faisalabad,Water,2026-05-01,513,499,WASH Program,Low
Faisalabad,Water,2026-06-01,471,358,WASH Program,High
Faisalabad,Water,2026-07-01,552,562,WASH Program,High
Faisalabad,Water,2026-08-01,503,454,WASH Program,Medium
Faisalabad,Water,2026-09-01,504,445,WASH Program,High
Faisalabad,Water,2026-10-01,532,484,WASH Program,Low
Faisalabad,Water,2026-11-01,508,438,WASH Program,Low
Faisalabad,Water,2026-12-01,506,382,WASH Program,High
Faisalabad,Shelter,2025-01-01,623,528,Shelter Support,Low
Faisalabad,Shelter,2025-02-01,636,499,Shelter Support,Medium
Faisalabad,Shelter,2025-03-01,665,634,Shelter Support,Medium
Faisalabad,Shelter,2025-04-01,687,677,Shelter Support,High
Faisalabad,Shelter,2025-05-01,629,573,Shelter Support,High
Faisalabad,Shelter,2025-06-01,657,608,Shelter Support,Medium
Faisalabad,Shelter,2025-07-01,643,506,Shelter Support,Medium
Faisalabad,Shelter,2025-08-01,710,592,Shelter Support,High
Faisalabad,Shelter,2025-09-01,703,647,Shelter Support,High
Faisalabad,Shelter,2025-10-01,614,526,Shelter Support,High
Faisalabad,Shelter,2025-11-01,658,540,Shelter Support,Low
Faisalabad,Shelter,2025-12-01,662,516,Shelter Support,High
Faisalabad,Shelter,2026-01-01,642,512,Shelter Support,High
Faisalabad,Shelter,2026-02-01,637,513,Shelter Support,Low
Faisalabad,Shelter,2026-03-01,630,641,Shelter Support,Medium
Faisalabad,Shelter,2026-04-01,640,495,Shelter Support,High
Faisalabad,Shelter,2026-05-01,575,600,Shelter Support,Low
Faisalabad,Shelter,2026-06-01,680,532,Shelter Support,High
Faisalabad,Shelter,2026-07-01,670,676,Shelter Support,High
Faisalabad,Shelter,2026-08-01,655,651,Shelter Support,Low
Faisalabad,Shelter,2026-09-01,634,602,Shelter Support,Medium
Faisalabad,Shelter,2026-10-01,640,658,Shelter Support,Low
Faisalabad,Shelter,2026-11-01,725,604,Shelter Support,High
Faisalabad,Shelter,2026-12-01,711,697,Shelter Support,Medium
Faisalabad,Hygiene,2025-01-01,278,243,WASH Program,Low
Faisalabad,Hygiene,2025-02-01,272,245,WASH Program,Low
Faisalabad,Hygiene,2025-03-01,280,261,WASH Program,Medium
Faisalabad,Hygiene,2025-04-01,282,235,WASH Program,High
Faisalabad,Hygiene,2025-05-01,270,241,WASH Program,Low
Faisalabad,Hygiene,2025-06-01,290,263,WASH Program,Low
Faisalabad,Hygiene,2025-07-01,284,224,WASH Program,Low
Faisalabad,Hygiene,2025-08-01,281,216,WASH Program,High
Faisalabad,Hygiene,2025-09-01,278,265,WASH Program,Low
Faisalabad,Hygiene,2025-10-01,297,290,WASH Program,Medium
Faisalabad,Hygiene,2025-11-01,276,241,WASH Program,Medium
Faisalabad,Hygiene,2025-12-01,321,274,WASH Program,Low
Faisalabad,Hygiene,2026-01-01,289,232,WASH Program,Low
Faisalabad,Hygiene,2026-02-01,288,221,WASH Program,Medium
Faisalabad,Hygiene,2026-03-01,294,294,WASH Program,Medium
Faisalabad,Hygiene,2026-04-01,309,244,WASH Program,Low
Faisalabad,Hygiene,2026-05-01,278,222,WASH Program,Medium
Faisalabad,Hygiene,2026-06-01,295,235,WASH Program,High
Faisalabad,Hygiene,2026-07-01,294,266,WASH Program,High
Faisalabad,Hygiene,2026-08-01,301,258,WASH Program,High
Faisalabad,Hygiene,2026-09-01,283,281,WASH Program,High
Faisalabad,Hygiene,2026-10-01,300,264,WASH Program,Medium
Faisalabad,Hygiene,2026-11-01,277,232,WASH Program,High
Faisalabad,Hygiene,2026-12-01,254,247,WASH Program,Low
Multan,Food,2025-01-01,526,536,Nutrition Program,Low
Multan,Food,2025-02-01,572,494,Nutrition Program,High
Multan,Food,2025-03-01,597,559,Nutrition Program,Low
Multan,Food,2025-04-01,574,450,Nutrition Program,High
Multan,Food,2025-05-01,576,489,Nutrition Program,High
Multan,Food,2025-06-01,588,465,Nutrition Program,High
Multan,Food,2025-07-01,586,533,Nutrition Program,Low
Multan,Food,2025-08-01,607,618,Nutrition Program,Low
Multan,Food,2025-09-01,558,470,Nutrition Program,High
Multan,Food,2025-10-01,583,480,Nutrition Program,High
Multan,Food,2025-11-01,615,623,Nutrition Program,High
Multan,Food,2025-12-01,583,497,Nutrition Program,High
Multan,Food,2026-01-01,608,483,Nutrition Program,Medium
Multan,Food,2026-02-01,559,457,Nutrition Program,High
Multan,Food,2026-03-01,599,564,Nutrition Program,Low
Multan,Food,2026-04-01,599,573,Nutrition Program,High
Multan,Food,2026-05-01,525,448,Nutrition Program,Medium
Multan,Food,2026-06-01,580,466,Nutrition Program,Low
Multan,Food,2026-07-01,576,501,Nutrition Program,Medium
Multan,Food,2026-08-01,595,528,Nutrition Program,High
Multan,Food,2026-09-01,577,538,Nutrition Program,Low
Multan,Food,2026-10-01,647,488,Nutrition Program,High
Multan,Food,2026-11-01,622,638,Nutrition Program,Low
Multan,Food,2026-12-01,588,565,Nutrition Program,Low
Multan,Medicine,2025-01-01,302,98,Health Support,High
Multan,Medicine,2025-02-01,278,114,Health Support,High
Multan,Medicine,2025-03-01,301,120,Health Support,High
Multan,Medicine,2025-04-01,297,129,Health Support,High
Multan,Medicine,2025-05-01,336,153,Health Support,High
Multan,Medicine,2025-06-01,290,135,Health Support,High
Multan,Medicine,2025-07-01,315,151,Health Support,High
Multan,Medicine,2025-08-01,311,146,Health Support,High
Multan,Medicine,2025-09-01,295,163,Health Support,High
Multan,Medicine,2025-10-01,317,173,Health Support,High
Multan,Medicine,2025-11-01,276,161,Health Support,High
Multan,Medicine,2025-12-01,282,172,Health Support,High
Multan,Medicine,2026-01-01,298,181,Health Support,High
Multan,Medicine,2026-02-01,311,204,Health Support,High
Multan,Medicine,2026-03-01,315,204,Health Support,High
Multan,Medicine,2026-04-01,283,203,Health Support,High
Multan,Medicine,2026-05-01,287,209,Health Support,High
Multan,Medicine,2026-06-01,299,227,Health Support,High
Multan,Medicine,2026-07-01,288,225,Health Support,High
Multan,Medicine,2026-08-01,287,234,Health Support,High
Multan,Medicine,2026-09-01,297,246,Health Support,High
Multan,Medicine,2026-10-01,337,279,Health Support,High
Multan,Medicine,2026-11-01,319,262,Health Support,High
Multan,Medicine,2026-12-01,267,233,Health Support,High
Multan,Clothing,2025-01-01,310,249,Winter Aid,Low
Multan,Clothing,2025-02-01,333,335,Winter Aid,Medium
Multan,Clothing,2025-03-01,327,271,Winter Aid,High
Multan,Clothing,2025-04-01,338,318,Winter Aid,Medium
Multan,Clothing,2025-05-01,324,258,Winter Aid,Medium
Multan,Clothing,2025-06-01,328,316,Winter Aid,High
Multan,Clothing,2025-07-01,328,267,Winter Aid,High
Multan,Clothing,2025-08-01,330,270,Winter Aid,High
Multan,Clothing,2025-09-01,331,265,Winter Aid,Low
Multan,Clothing,2025-10-01,327,309,Winter Aid,Medium
Multan,Clothing,2025-11-01,324,266,Winter Aid,Medium
Multan,Clothing,2025-12-01,326,315,Winter Aid,Medium
Multan,Clothing,2026-01-01,333,289,Winter Aid,Medium
Multan,Clothing,2026-02-01,334,317,Winter Aid,Medium
Multan,Clothing,2026-03-01,319,325,Winter Aid,Low
Multan,Clothing,2026-04-01,314,236,Winter Aid,High
Multan,Clothing,2026-05-01,302,307,Winter Aid,Low
Multan,Clothing,2026-06-01,359,357,Winter Aid,Low
Multan,Clothing,2026-07-01,309,266,Winter Aid,Low
Multan,Clothing,2026-08-01,316,292,Winter Aid,High
Multan,Clothing,2026-09-01,342,298,Winter Aid,High
Multan,Clothing,2026-10-01,306,280,Winter Aid,Medium
Multan,Clothing,2026-11-01,301,311,Winter Aid,Low
Multan,Clothing,2026-12-01,321,314,Winter Aid,Medium
Multan,Water,2025-01-01,532,526,WASH Program,High
Multan,Water,2025-02-01,507,444,WASH Program,High
Multan,Water,2025-03-01,562,464,WASH Program,High
Multan,Water,2025-04-01,525,415,WASH Program,High
Multan,Water,2025-05-01,475,395,WASH Program,Low
Multan,Water,2025-06-01,510,385,WASH Program,Medium
Multan,Water,2025-07-01,466,426,WASH Program,High
Multan,Water,2025-08-01,522,493,WASH Program,Medium
Multan,Water,2025-09-01,496,373,WASH Program,High
Multan,Water,2025-10-01,521,412,WASH Program,Medium
Multan,Water,2025-11-01,549,521,WASH Program,Medium
Multan,Water,2025-12-01,547,439,WASH Program,High
Multan,Water,2026-01-01,503,435,WASH Program,High
Multan,Water,2026-02-01,528,478,WASH Program,Medium
Multan,Water,2026-03-01,499,464,WASH Program,Low
Multan,Water,2026-04-01,513,422,WASH Program,High
Multan,Water,2026-05-01,469,401,WASH Program,High
Multan,Water,2026-06-01,487,470,WASH Program,Low
Multan,Water,2026-07-01,522,466,WASH Program,Low
Multan,Water,2026-08-01,463,439,WASH Program,High
Multan,Water,2026-09-01,510,415,WASH Program,High
Multan,Water,2026-10-01,512,388,WASH Program,High
Multan,Water,2026-11-01,523,400,WASH Program,High
Multan,Water,2026-12-01,469,421,WASH Program,Medium
Multan,Shelter,2025-01-01,497,487,Shelter Support,Medium
Multan,Shelter,2025-02-01,569,444,Shelter Support,Medium
Multan,Shelter,2025-03-01,547,491,Shelter Support,High
Multan,Shelter,2025-04-01,533,509,Shelter Support,Medium
Multan,Shelter,2025-05-01,500,497,Shelter Support,High
Multan,Shelter,2025-06-01,532,526,Shelter Support,High
Multan,Shelter,2025-07-01,513,475,Shelter Support,Medium
Multan,Shelter,2025-08-01,568,487,Shelter Support,High
Multan,Shelter,2025-09-01,507,462,Shelter Support,Medium
Multan,Shelter,2025-10-01,536,542,Shelter Support,Medium
Multan,Shelter,2025-11-01,565,535,Shelter Support,Medium
Multan,Shelter,2025-12-01,559,535,Shelter Support,Medium
Multan,Shelter,2026-01-01,530,475,Shelter Support,Medium
Multan,Shelter,2026-02-01,560,457,Shelter Support,Low
Multan,Shelter,2026-03-01,565,429,Shelter Support,Low
Multan,Shelter,2026-04-01,546,523,Shelter Support,Low
Multan,Shelter,2026-05-01,555,577,Shelter Support,Low
Multan,Shelter,2026-06-01,537,554,Shelter Support,Low
Multan,Shelter,2026-07-01,573,574,Shelter Support,Medium
Multan,Shelter,2026-08-01,540,456,Shelter Support,High
Multan,Shelter,2026-09-01,504,396,Shelter Support,High
Multan,Shelter,2026-10-01,556,429,Shelter Support,Medium
Multan,Shelter,2026-11-01,514,497,Shelter Support,High
Multan,Shelter,2026-12-01,577,444,Shelter Support,High
Multan,Hygiene,2025-01-01,705,695,WASH Program,Low
Multan,Hygiene,2025-02-01,624,527,WASH Program,Low
Multan,Hygiene,2025-03-01,720,673,WASH Program,Low
Multan,Hygiene,2025-04-01,700,573,WASH Program,High
Multan,Hygiene,2025-05-01,715,707,WASH Program,Low
Multan,Hygiene,2025-06-01,692,726,WASH Program,Medium
Multan,Hygiene,2025-07-01,733,638,WASH Program,High
Multan,Hygiene,2025-08-01,667,596,WASH Program,High
Multan,Hygiene,2025-09-01,722,754,WASH Program,Low
Multan,Hygiene,2025-10-01,701,687,WASH Program,Medium
Multan,Hygiene,2025-11-01,632,613,WASH Program,Low
Multan,Hygiene,2025-12-01,630,517,WASH Program,Low
Multan,Hygiene,2026-01-01,680,568,WASH Program,High
Multan,Hygiene,2026-02-01,663,556,WASH Program,High
Multan,Hygiene,2026-03-01,624,595,WASH Program,Low
Multan,Hygiene,2026-04-01,649,529,WASH Program,High
Multan,Hygiene,2026-05-01,685,694,WASH Program,High
Multan,Hygiene,2026-06-01,662,684,WASH Program,High
Multan,Hygiene,2026-07-01,770,616,WASH Program,Low
Multan,Hygiene,2026-08-01,668,699,WASH Program,High
Multan,Hygiene,2026-09-01,731,660,WASH Program,Low
Multan,Hygiene,2026-10-01,747,611,WASH Program,High
Multan,Hygiene,2026-11-01,673,542,WASH Program,Medium
Multan,Hygiene,2026-12-01,670,659,WASH Program,High
Sialkot,Food,2025-01-01,597,621,Nutrition Program,Low
Sialkot,Food,2025-02-01,607,616,Nutrition Program,High
Sialkot,Food,2025-03-01,601,587,Nutrition Program,Low
Sialkot,Food,2025-04-01,577,553,Nutrition Program,Low
Sialkot,Food,2025-05-01,623,509,Nutrition Program,High
Sialkot,Food,2025-06-01,601,491,Nutrition Program,Low
Sialkot,Food,2025-07-01,685,632,Nutrition Program,High
Sialkot,Food,2025-08-01,641,498,Nutrition Program,Medium
Sialkot,Food,2025-09-01,601,474,Nutrition Program,Low
Sialkot,Food,2025-10-01,630,640,Nutrition Program,Low
Sialkot,Food,2025-11-01,629,575,Nutrition Program,Low
Sialkot,Food,2025-12-01,646,501,Nutrition Program,Low
Sialkot,Food,2026-01-01,559,462,Nutrition Program,Medium
Sialkot,Food,2026-02-01,574,555,Nutrition Program,Medium
Sialkot,Food,2026-03-01,587,479,Nutrition Program,High
Sialkot,Food,2026-04-01,612,584,Nutrition Program,Low
Sialkot,Food,2026-05-01,506,469,Nutrition Program,Low
Sialkot,Food,2026-06-01,586,584,Nutrition Program,Medium
Sialkot,Food,2026-07-01,653,600,Nutrition Program,High
Sialkot,Food,2026-08-01,578,479,Nutrition Program,Medium
Sialkot,Food,2026-09-01,620,587,Nutrition Program,Medium
Sialkot,Food,2026-10-01,622,625,Nutrition Program,High
Sialkot,Food,2026-11-01,625,625,Nutrition Program,Low
Sialkot,Food,2026-12-01,634,608,Nutrition Program,Low
Sialkot,Medicine,2025-01-01,614,599,Health Support,Medium
Sialkot,Medicine,2025-02-01,629,501,Health Support,Medium
Sialkot,Medicine,2025-03-01,574,558,Health Support,Medium
Sialkot,Medicine,2025-04-01,560,447,Health Support,High
Sialkot,Medicine,2025-05-01,597,538,Health Support,High
