district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Faisalabad,Food,2025-02-01,4179.0,2058.0,UNICEF,Nutrition Program,2790,High,PK-FAI,kg,Mobile App,2025-02-06,2121.0,Pending review
Quetta,Clothing,2024-08-01,901.0,965.0,WFP,Winter Aid,626,High,PK-QUE,pieces,Manual Entry,2024-08-19,-64.0,Pending review
Gujranwala,Water,2024-02-01,1604.0,1538.0,Local Fund,WASH Program,920,High,PK-GUJ,liters,Survey,2024-02-13,66.0,
Multan,Water,2026-12-01,4953.0,2610.0,WFP,WASH Program,925,Low,PK-MUL,liters,Survey,2026-12-22,2343.0,
Hyderabad,Food,2026-09-01,258.0,215.0,WFP,Nutrition Program,764,Low,PK-HYD,kg,Partner Report,2026-09-11,77.0,Partner discrepancy noted
Lahore,Food,2025-08-01,2866.0,2276.0,Red Crescent,Nutrition Program,716,High,PK-LAH,kg,Partner Report,2025-08-20,590.0,Pending review
Sargodha,Shelter,2024-01-01,2541.0,2215.0,Red Crescent,Shelter Support,1701,High,PK-SAR,units,Mobile App,2024-01-08,326.0,Field verified
Multan,Water,2025-12-01,1502.0,1051.0,Red Crescent,WASH Program,1763,High,PK-MUL,liters,Survey,2025-12-15,494.0,Pending review
Peshawar,Hygiene,2025-02-01,2456.0,1192.0,Private Donor,WASH Program,341,High,PK-PES,kits,Mobile App,2025-02-03,1264.0,Field verified
Faisalabad,Hygiene,2025-09-01,4076.0,3450.0,USAID,WASH Program,1938,High,PK-FAI,kits,Survey,2025-09-11,626.0,Partner discrepancy noted
Faisalabad,Shelter,2026-02-01,4361.0,3054.0,Private Donor,Shelter Support,1887,Medium,PK-FAI,units,Mobile App,2026-02-19,1307.0,
Sialkot,Medicine,2024-10-01,1332.0,1332.0,Red Crescent,Health Support,1016,Low,PK-SIA,kits,Mobile App,2024-10-23,0.0,
Peshawar,Shelter,2026-03-01,2329.0,2005.0,Local Fund,Shelter Support,205,Low,PK-PES,units,Manual Entry,2026-03-20,324.0,Pending review
Hyderabad,Shelter,2024-06-01,993.0,365.0,UNICEF,Shelter Support,1535,High,PK-HYD,units,Partner Report,2024-06-02,628.0,Pending review
Hyderabad,Hygiene,2024-06-01,2462.0,1970.0,UNHCR,WASH Program,1650,Low,PK-HYD,kits,Partner Report,2024-06-12,492.0,Reported by district office
Gujranwala,Clothing,2025-08-01,669.0,564.0,WFP,Winter Aid,84,High,PK-GUJ,pieces,Manual Entry,2025-08-07,105.0,
Multan,Food,2024-11-01,2693.0,2851.0,Private Donor,Nutrition Program,164,High,PK-MUL,kg,Manual Entry,2024-11-16,-158.0,
Faisalabad,Hygiene,2024-10-01,5471.0,4821.0,Local Fund,WASH Program,334,High,PK-FAI,kits,Manual Entry,2024-10-16,650.0,Field verified
Gujranwala,Water,2024-07-01,3369.0,3600.0,Local Fund,WASH Program,1323,Medium,PK-GUJ,liters,Survey,2024-07-10,-231.0,
Gujranwala,Clothing,2025-08-01,669.0,564.0,WFP,Winter Aid,84,High,PK-GUJ,pieces,Manual Entry,2025-08-07,105.0,
Lahore,Shelter,2026-02-01,393.0,309.0,UNHCR,Shelter Support,318,Low,PK-LAH,units,Survey,2026-02-02,62.0,Partner discrepancy noted
Sialkot,Medicine,2026-02-01,1164.0,885.0,WFP,Health Support,2341,High,PK-SIA,kits,Mobile App,2026-02-13,279.0,
Multan,Clothing,2026-07-01,879.0,,Red Crescent,Winter Aid,685,High,PK-MUL,pieces,Mobile App,2026-07-16,,Reported by district office
Sargodha,Hygiene,2025-05-01,2988.0,2988.0,Private Donor,WASH Program,706,High,PK-SAR,kits,Partner Report,2025-05-09,0.0,Reported by district office
Gujranwala,Clothing,2024-03-01,1841.0,1356.0,Red Crescent,Winter Aid,2824,High,PK-GUJ,pieces,Partner Report,2024-03-22,485.0,Field verified
Sargodha,Shelter,2025-08-01,4910.0,4732.0,UNICEF,Shelter Support,2675,High,PK-SAR,units,Survey,2025-08-09,178.0,Partner discrepancy noted
Sargodha,Clothing,2025-04-01,2052.0,2023.0,UNHCR,Winter Aid,1080,Low,PK-SAR,pieces,Partner Report,2025-04-03,29.0,Reported by district office
Peshawar,Medicine,2026-07-01,2519.0,2593.0,Red Crescent,Health Support,501,High,PK-PES,kits,Mobile App,2026-07-17,-74.0,
Peshawar,Food,2025-09-01,2169.0,952.0,WFP,Nutrition Program,2565,High,PK-PES,kg,Mobile App,2025-09-05,1217.0,
Faisalabad,Hygiene,2024-07-01,2425.0,2415.0,UNHCR,WASH Program,2704,Medium,PK-FAI,kits,Mobile App,2024-07-06,10.0,
Bahawalpur,Water,2024-09-01,3221.0,,Private Donor,WASH Program,2158,Low,PK-BAH,liters,Survey,2024-09-19,,Reported by district office
Peshawar,Food,2024-03-01,,1169.0,USAID,Nutrition Program,1104,High,PK-PES,kg,Manual Entry,2024-03-22,,
Hyderabad,Water,2026-12-01,4551.0,4092.0,USAID,WASH Program,1447,Low,PK-HYD,liters,Mobile App,2026-12-25,459.0,Field verified
Sialkot,Hygiene,2024-03-01,119.0,119.0,UNHCR,WASH Program,2708,Low,PK-SIA,kits,Mobile App,2024-03-07,0.0,Reported by district office
Rawalpindi,Medicine,2024-03-01,,1661.0,USAID,Health Support,1650,Medium,PK-RAW,kits,Survey,2024-03-06,,Reported by district office
Gujranwala,Shelter,2025-08-01,2160.0,2414.0,Local Fund,Shelter Support,2206,Medium,PK-GUJ,units,Manual Entry,2025-08-24,-254.0,Reported by district office
Multan,Medicine,2026-06-01,1766.0,1884.0,Red Crescent,Health Support,1668,High,PK-MUL,kits,Mobile App,2026-06-02,-93.0,Pending review
Rawalpindi,Clothing,2026-06-01,5416.0,4125.0,Red Crescent,Winter Aid,271,Low,PK-RAW,pieces,Partner Report,2026-06-05,1291.0,Pending review
Multan,Medicine,2025-04-01,2041.0,1551.0,WFP,Health Support,296,Medium,PK-MUL,kits,Partner Report,2025-04-22,490.0,Reported by district office
Karachi,Food,2026-06-01,1224.0,1111.0,Red Crescent,Nutrition Program,2132,Medium,PK-KAR,kg,Partner Report,2026-06-12,113.0,
Quetta,Medicine,2026-09-01,1609.0,1171.0,UNHCR,Health Support,1451,High,PK-QUE,kits,Partner Report,2026-09-04,438.0,Reported by district office
Gujranwala,Medicine,2026-03-01,5043.0,4483.0,Local Fund,Health Support,2859,Low,PK-GUJ,kits,Survey,2026-03-08,560.0,Field verified
Hyderabad,Clothing,2025-01-01,,2890.0,WFP,Winter Aid,490,Low,PK-HYD,pieces,Manual Entry,2025-01-18,,
Peshawar,Medicine,2025-12-01,5014.0,4227.0,WFP,Health Support,1861,Low,PK-PES,kits,Survey,2025-12-19,787.0,
Karachi,Clothing,2024-07-01,1707.0,1260.0,UNICEF,Winter Aid,853,Medium,PK-KAR,pieces,Mobile App,2024-07-23,447.0,Reported by district office
Rawalpindi,Clothing,2026-06-01,5416.0,4125.0,Red Crescent,Winter Aid,271,Low,PK-RAW,pieces,Partner Report,2026-06-05,1291.0,Pending review
Hyderabad,Hygiene,2025-08-01,,2130.0,UNICEF,WASH Program,250,Medium,PK-HYD,kits,Partner Report,2025-08-05,,Field verified
Sargodha,Medicine,2024-09-01,1318.0,1288.0,Local Fund,Health Support,586,Medium,PK-SAR,kits,Partner Report,2024-09-15,30.0,Field verified
Multan,Medicine,2026-07-01,3897.0,3537.0,Red Crescent,Health Support,226,Medium,PK-MUL,kits,Survey,2026-07-09,360.0,Field verified
Quetta,Shelter,2026-03-01,1322.0,1094.0,USAID,Shelter Support,2365,Medium,PK-QUE,units,Manual Entry,2026-03-25,228.0,Pending review
Peshawar,Medicine,2025-06-01,4315.0,4918.0,WFP,Health Support,2374,Medium,PK-PES,kits,Mobile App,2025-06-09,-603.0,
Karachi,Shelter,2026-05-01,4063.0,4414.0,WFP,Shelter Support,2656,High,PK-KAR,units,Manual Entry,2026-05-02,-351.0,Reported by district office
Sialkot,Shelter,2026-10-01,,2635.0,Private Donor,Shelter Support,98,High,PK-SIA,units,Manual Entry,2026-10-08,,Reported by district office
Quetta,Medicine,2024-07-01,870.0,,WFP,Health Support,1523,Low,PK-QUE,kits,Mobile App,2024-07-11,,Pending review
Hyderabad,Food,2024-10-01,4639.0,4221.0,Private Donor,Nutrition Program,439,Medium,PK-HYD,kg,Partner Report,2024-10-11,418.0,Partner discrepancy noted
Sargodha,Clothing,2025-08-01,4591.0,3227.0,Local Fund,Winter Aid,93,Low,PK-SAR,pieces,Survey,2025-08-11,1364.0,Pending review
Quetta,Medicine,2026-09-01,2952.0,2172.0,WFP,Health Support,2907,High,PK-QUE,kits,Mobile App,2026-09-22,780.0,Field verified
Bahawalpur,Water,2025-05-01,3711.0,3400.0,Private Donor,WASH Program,271,Low,PK-BAH,liters,Mobile App,2025-05-09,311.0,Field verified
Lahore,Shelter,2024-02-01,3609.0,1172.0,Local Fund,Shelter Support,674,High,PK-LAH,units,Manual Entry,2024-02-18,2437.0,Reported by district office
Karachi,Food,2024-01-01,4018.0,1922.0,Red Crescent,Nutrition Program,1760,Medium,PK-KAR,kg,Mobile App,2024-01-01,2096.0,Partner discrepancy noted
Quetta,Shelter,2026-03-01,1322.0,1094.0,USAID,Shelter Support,2365,Medium,PK-QUE,units,Manual Entry,2026-03-25,228.0,Pending review
Gujranwala,Shelter,2025-05-01,3622.0,2658.0,UNHCR,Shelter Support,560,Medium,PK-GUJ,units,Survey,2025-05-23,964.0,Pending review
Faisalabad,Shelter,2024-11-01,3324.0,1412.0,WFP,Shelter Support,2358,Medium,PK-FAI,units,Mobile App,2024-11-07,1912.0,
Sialkot,Medicine,2024-08-01,,118.0,UNHCR,Health Support,1029,Medium,PK-SIA,kits,Mobile App,2024-08-03,,Partner discrepancy noted
Quetta,Hygiene,2026-08-01,1644.0,1415.0,WFP,WASH Program,2311,Medium,PK-QUE,kits,Partner Report,2026-08-19,229.0,Reported by district office
Gujranwala,Hygiene,2024-06-01,1401.0,1603.0,Red Crescent,WASH Program,87,Medium,PK-GUJ,kits,Manual Entry,2024-06-24,-202.0,Reported by district office
Lahore,Shelter,2024-08-01,2354.0,1925.0,Private Donor,Shelter Support,2496,Low,PK-LAH,units,Survey,2024-08-01,429.0,
Bahawalpur,Shelter,2026-08-01,4200.0,1378.0,Red Crescent,Shelter Support,1605,Medium,PK-BAH,units,Partner Report,2026-08-09,2822.0,Field verified
Sialkot,Food,2024-09-01,5250.0,5069.0,Private Donor,Nutrition Program,156,Medium,PK-SIA,kg,Manual Entry,2024-09-21,181.0,
Karachi,Shelter,2024-08-01,,305.0,Red Crescent,Shelter Support,887,Medium,PK-KAR,units,Survey,2024-08-20,,
Sialkot,Shelter,2026-09-01,5314.0,4101.0,UNICEF,Shelter Support,2557,Low,PK-SIA,units,Partner Report,2026-09-17,1213.0,Partner discrepancy noted
Peshawar,Hygiene,2026-05-01,327.0,276.0,UNHCR,WASH Program,573,Low,PK-PES,kits,Partner Report,2026-05-23,51.0,Reported by district office
Faisalabad,Water,2025-03-01,,405.0,Local Fund,WASH Program,1020,Medium,PK-FAI,liters,Survey,2025-03-12,,
Sialkot,Medicine,2025-08-01,393.0,429.0,UNHCR,Health Support,2326,Low,PK-SIA,kits,Partner Report,2025-08-19,-36.0,Pending review
Faisalabad,Water,2026-10-01,,2145.0,UNICEF,WASH Program,1228,Low,PK-FAI,liters,Partner Report,2026-10-21,,Partner discrepancy noted
Rawalpindi,Shelter,2025-10-01,5472.0,4069.0,Red Crescent,Shelter Support,2133,Medium,PK-RAW,units,Partner Report,2025-10-09,1403.0,Pending review
Faisalabad,Food,2024-05-01,,585.0,UNHCR,Nutrition Program,2725,Medium,PK-FAI,kg,Manual Entry,2024-05-20,,Field verified
Quetta,Medicine,2026-10-01,1514.0,1312.0,UNHCR,Health Support,2799,High,PK-QUE,kits,Survey,2026-10-07,202.0,Partner discrepancy noted
Karachi,Medicine,2025-08-01,589.0,557.0,Private Donor,Health Support,2768,High,PK-KAR,kits,Survey,2025-08-09,32.0,Partner discrepancy noted
Faisalabad,Water,2025-03-01,,405.0,Local Fund,WASH Program,1020,Medium,PK-FAI,liters,Survey,2025-03-12,,
Quetta,Shelter,2026-01-01,4848.0,4564.0,Private Donor,Shelter Support,2973,Medium,PK-QUE,units,Survey,2026-01-17,284.0,
Sargodha,Medicine,2024-09-01,1318.0,1288.0,Local Fund,Health Support,586,Medium,PK-SAR,kits,Partner Report,2024-09-15,30.0,Field verified
Gujranwala,Medicine,2025-05-01,3721.0,2940.0,USAID,Health Support,1024,High,PK-GUJ,kits,Mobile App,2025-05-15,781.0,Field verified
Gujranwala,Hygiene,2024-07-01,282.0,315.0,Red Crescent,WASH Program,1536,Low,PK-GUJ,kits,Partner Report,2024-07-11,-33.0,Field verified
Sargodha,Hygiene,2024-07-01,377.0,304.0,Local Fund,WASH Program,1260,Medium,PK-SAR,kits,Partner Report,2024-07-11,73.0,
Hyderabad,Hygiene,2025-02-01,1018.0,946.0,USAID,WASH Program,565,Low,PK-HYD,kits,Survey,2025-02-20,72.0,Field verified
Karachi,Shelter,2024-05-01,765.0,,Red Crescent,Shelter Support,817,Low,PK-KAR,units,Partner Report,2024-05-23,,Reported by district office
Gujranwala,Clothing,2026-06-01,5343.0,5152.0,WFP,Winter Aid,1859,Medium,PK-GUJ,pieces,Manual Entry,2026-06-04,191.0,Partner discrepancy noted
Karachi,Food,2024-05-01,4292.0,3910.0,UNHCR,Nutrition Program,1948,Low,PK-KAR,kg,Manual Entry,2024-05-10,382.0,Partner discrepancy noted
Sialkot,Hygiene,2024-10-01,4941.0,2108.0,WFP,WASH Program,2513,High,PK-SIA,kits,Survey,2024-10-24,2833.0,Field verified
Rawalpindi,Shelter,2025-08-01,3532.0,3470.0,Private Donor,Shelter Support,2606,Low,PK-RAW,units,Survey,2025-08-09,62.0,Field verified
Sialkot,Shelter,2024-05-01,3708.0,2796.0,Local Fund,Shelter Support,2307,High,PK-SIA,units,Partner Report,2024-05-23,912.0,Partner discrepancy noted
Hyderabad,Water,2026-03-01,4209.0,3345.0,Local Fund,WASH Program,2455,Medium,PK-HYD,liters,Survey,2026-03-11,864.0,
Bahawalpur,Food,2024-11-01,2338.0,1129.0,UNHCR,Nutrition Program,66,Medium,PK-BAH,kg,Partner Report,2024-11-22,1209.0,
Quetta,Clothing,2025-05-01,3010.0,,Red Crescent,Winter Aid,999,Low,PK-QUE,pieces,Manual Entry,2025-05-19,,Field verified
Gujranwala,Hygiene,2026-09-01,4385.0,4385.0,Private Donor,WASH Program,665,Medium,PK-GUJ,kits,Partner Report,2026-09-04,0.0,Field verified
Bahawalpur,Clothing,2025-07-01,857.0,269.0,USAID,Winter Aid,358,Medium,PK-BAH,pieces,Partner Report,2025-07-07,588.0,Field verified
Sialkot,Clothing,2025-08-01,2524.0,2855.0,WFP,Winter Aid,1628,Medium,PK-SIA,pieces,Mobile App,2025-08-12,-331.0,Field verified
Quetta,Hygiene,2025-09-01,2564.0,1933.0,Red Crescent,WASH Program,329,Low,PK-QUE,kits,Survey,2025-09-23,631.0,Partner discrepancy noted
Rawalpindi,Hygiene,2024-04-01,3583.0,2604.0,Local Fund,WASH Program,864,Low,PK-RAW,kits,Mobile App,2024-04-25,979.0,Field verified
Lahore,Food,2025-08-01,1032.0,1032.0,Red Crescent,Nutrition Program,1581,Medium,PK-LAH,kg,Manual Entry,2025-08-16,0.0,Pending review
Sialkot,Medicine,2025-05-01,3908.0,4451.0,Red Crescent,Health Support,308,High,PK-SIA,kits,Mobile App,2025-05-03,-543.0,Field verified
Sialkot,Hygiene,2026-07-01,3824.0,2820.0,UNICEF,WASH Program,2223,Low,PK-SIA,kits,Survey,2026-07-18,1004.0,Reported by district office
Hyderabad,Food,2026-08-01,3075.0,2414.0,Private Donor,Nutrition Program,796,Medium,PK-HYD,kg,Manual Entry,2026-08-02,661.0,Field verified
Karachi,Water,2025-08-01,1014.0,964.0,Local Fund,WASH Program,1945,Low,PK-KAR,liters,Mobile App,2025-08-06,50.0,Field verified
Peshawar,Food,2026-08-01,3447.0,3894.0,UNICEF,Nutrition Program,2509,Low,PK-PES,kg,Mobile App,2026-08-04,-447.0,
Lahore,Water,2024-02-01,3436.0,1239.0,UNICEF,WASH Program,326,Medium,PK-LAH,liters,Manual Entry,2024-02-06,2197.0,Pending review
Bahawalpur,Food,2024-01-01,1875.0,1929.0,USAID,Nutrition Program,1109,Medium,PK-BAH,kg,Manual Entry,2024-01-14,-54.0,Pending review
Lahore,Shelter,2026-02-01,393.0,309.0,UNHCR,Shelter Support,318,Low,PK-LAH,units,Survey,2026-02-02,62.0,Partner discrepancy noted
Gujranwala,Hygiene,2026-01-01,3229.0,1741.0,Red Crescent,WASH Program,402,Medium,PK-GUJ,kits,Survey,2026-01-19,1488.0,Field verified
Hyderabad,Water,2025-07-01,5132.0,1669.0,USAID,WASH Program,157,Low,PK-HYD,liters,Manual Entry,2025-07-12,3463.0,Reported by district office
Multan,Medicine,2025-04-01,2041.0,1551.0,WFP,Health Support,296,Medium,PK-MUL,kits,Partner Report,2025-04-22,490.0,Reported by district office
Multan,Water,2026-01-01,4775.0,3401.0,UNHCR,WASH Program,2142,High,PK-MUL,liters,Partner Report,2026-01-07,1374.0,Reported by district office
Bahawalpur,Hygiene,2026-01-01,4787.0,4577.0,Private Donor,WASH Program,1306,Low,PK-BAH,kits,Manual Entry,2026-01-14,210.0,Pending review
Sialkot,Medicine,2025-05-01,4060.0,3702.0,Local Fund,Health Support,53,Medium,PK-SIA,kits,Survey,2025-05-13,358.0,Field verified
Faisalabad,Food,2026-10-01,3178.0,2558.0,Red Crescent,Nutrition Program,1012,Medium,PK-FAI,kg,Mobile App,2026-10-20,620.0,Partner discrepancy noted
Multan,Medicine,2024-01-01,764.0,855.0,WFP,Health Support,478,High,PK-MUL,kits,Manual Entry,2024-01-20,-91.0,Partner discrepancy noted
Peshawar,Medicine,2025-03-01,1289.0,464.0,Red Crescent,Health Support,637,Medium,PK-PES,kits,Partner Report,2025-03-17,825.0,
Gujranwala,Shelter,2026-04-01,1875.0,1377.0,UNICEF,Shelter Support,2199,High,PK-GUJ,units,Mobile App,2026-04-22,498.0,Partner discrepancy noted
Bahawalpur,Food,2026-08-01,2915.0,2915.0,WFP,Nutrition Program,2391,Medium,PK-BAH,kg,Partner Report,2026-08-22,0.0,Pending review
Hyderabad,Hygiene,2026-04-01,4033.0,3493.0,Red Crescent,WASH Program,224,High,PK-HYD,kits,Mobile App,2026-04-04,540.0,Field verified
Gujranwala,Shelter,2024-03-01,5260.0,4433.0,UNICEF,Shelter Support,2342,Low,PK-GUJ,units,Manual Entry,2024-03-19,827.0,Pending review
Hyderabad,Food,2024-09-01,4605.0,4295.0,USAID,Nutrition Program,2762,High,PK-HYD,kg,Manual Entry,2024-09-13,310.0,Partner discrepancy noted
Sargodha,Hygiene,2024-06-01,474.0,422.0,UNHCR,WASH Program,2163,High,PK-SAR,kits,Survey,2024-06-17,52.0,
Gujranwala,Hygiene,2025-02-01,5095.0,5095.0,USAID,WASH Program,2804,Low,PK-GUJ,kits,Survey,2025-02-25,0.0,Pending review
Multan,Medicine,2025-09-01,2711.0,,UNICEF,Health Support,2939,Medium,PK-MUL,kits,Survey,2025-09-02,,Partner discrepancy noted
Hyderabad,Water,2024-09-01,2664.0,,Private Donor,WASH Program,2162,Low,PK-HYD,liters,Survey,2024-09-12,,Reported by district office
Lahore,Food,2025-12-01,4674.0,3642.0,UNHCR,Nutrition Program,316,Medium,PK-LAH,kg,Survey,2025-12-01,1024.0,Partner discrepancy noted
Quetta,Water,2025-02-01,1342.0,1170.0,UNHCR,WASH Program,1212,Medium,PK-QUE,liters,Survey,2025-02-01,165.0,
Bahawalpur,Shelter,2024-04-01,3218.0,2623.0,Private Donor,Shelter Support,1705,High,PK-BAH,units,Mobile App,2024-04-08,595.0,Field verified
Quetta,Clothing,2026-11-01,4180.0,2988.0,Private Donor,Winter Aid,2904,High,PK-QUE,pieces,Partner Report,2026-11-17,1192.0,Reported by district office
Lahore,Water,2024-03-01,3601.0,3593.0,USAID,WASH Program,1904,High,PK-LAH,liters,Manual Entry,2024-03-17,8.0,Partner discrepancy noted
Sargodha,Food,2024-11-01,2520.0,2520.0,UNICEF,Nutrition Program,578,High,PK-SAR,kg,Survey,2024-11-24,0.0,Partner discrepancy noted
Lahore,Hygiene,2025-09-01,1432.0,683.0,Local Fund,WASH Program,1432,Medium,PK-LAH,kits,Manual Entry,2025-09-07,749.0,Reported by district office
Faisalabad,Food,2024-12-01,1770.0,1597.0,WFP,Nutrition Program,759,High,PK-FAI,kg,Survey,2024-12-10,173.0,
Peshawar,Hygiene,2026-08-01,691.0,691.0,UNICEF,WASH Program,1846,High,PK-PES,kits,Partner Report,2026-08-06,0.0,Partner discrepancy noted
Peshawar,Clothing,2024-12-01,2219.0,,UNHCR,Winter Aid,505,Low,PK-PES,pieces,Mobile App,2024-12-11,,Pending review
Karachi,Shelter,2025-10-01,2843.0,2562.0,WFP,Shelter Support,98,High,PK-KAR,units,Mobile App,2025-10-23,301.0,Partner discrepancy noted
Sargodha,Medicine,2026-05-01,5185.0,2290.0,Red Crescent,Health Support,708,Low,PK-SAR,kits,Manual Entry,2026-05-08,2895.0,
Gujranwala,Clothing,2024-02-01,,706.0,Private Donor,Winter Aid,161,Medium,PK-GUJ,pieces,Mobile App,2024-02-11,,Partner discrepancy noted
Karachi,Shelter,2025-03-01,3383.0,1739.0,WFP,Shelter Support,1087,High,PK-KAR,units,Partner Report,2025-03-19,1644.0,Pending review
Gujranwala,Shelter,2025-05-01,1658.0,1539.0,UNICEF,Shelter Support,2956,Low,PK-GUJ,units,Partner Report,2025-05-10,119.0,Reported by district office
Hyderabad,Shelter,2025-04-01,1130.0,792.0,Red Crescent,Shelter Support,361,Medium,PK-HYD,units,Partner Report,2025-04-21,338.0,Field verified
Multan,Medicine,2026-01-01,1951.0,1383.0,WFP,Health Support,248,High,PK-MUL,kits,Partner Report,2026-01-07,568.0,
Karachi,Clothing,2026-10-01,4314.0,,WFP,Winter Aid,1588,Medium,PK-KAR,pieces,Mobile App,2026-10-12,,
Sargodha,Food,2024-03-01,707.0,748.0,USAID,Nutrition Program,1853,Medium,PK-SAR,kg,Survey,2024-03-06,-41.0,Field verified
Lahore,Food,2025-08-01,1032.0,1032.0,Red Crescent,Nutrition Program,1581,Medium,PK-LAH,kg,Manual Entry,2025-08-16,0.0,Pending review
Rawalpindi,Medicine,2024-05-01,927.0,744.0,Red Crescent,Health Support,456,High,PK-RAW,kits,Mobile App,2024-05-22,183.0,
Hyderabad,Clothing,2026-01-01,4116.0,3824.0,Local Fund,Winter Aid,156,Medium,PK-HYD,pieces,Partner Report,2026-01-08,292.0,Field verified
Gujranwala,Hygiene,2026-07-01,5297.0,1623.0,WFP,WASH Program,2151,Medium,PK-GUJ,kits,Partner Report,2026-07-25,3674.0,
Sialkot,Medicine,2026-12-01,3067.0,2480.0,Private Donor,Health Support,1728,High,PK-SIA,kits,Mobile App,2026-12-04,587.0,
Gujranwala,Shelter,2024-10-01,1230.0,,WFP,Shelter Support,1300,Low,PK-GUJ,units,Manual Entry,2024-10-18,,
Gujranwala,Medicine,2024-10-01,1386.0,985.0,UNHCR,Health Support,2166,High,PK-GUJ,kits,Mobile App,2024-10-25,401.0,Field verified
Lahore,Hygiene,2025-03-01,,714.0,UNICEF,WASH Program,2651,Medium,PK-LAH,kits,Manual Entry,2025-03-09,,Partner discrepancy noted
Rawalpindi,Shelter,2026-02-01,675.0,287.0,UNICEF,Shelter Support,2759,Medium,PK-RAW,units,Survey,2026-02-13,389.0,Partner discrepancy noted
Peshawar,Food,2024-03-01,3719.0,3232.0,Local Fund,Nutrition Program,2525,Medium,PK-PES,kg,Survey,2024-03-07,487.0,Pending review
Peshawar,Medicine,2025-01-01,2393.0,1756.0,Private Donor,Health Support,212,High,PK-PES,kits,Partner Report,2025-01-18,637.0,Partner discrepancy noted
