Beneficiary_Region,Commodity_Type,Reporting_Period,HH_in_Need,Qty_Given,Programme_Category,Priority_Level,District_Code,Gap_Balance,Donor_Name,Notes,Record_ID
Karachi,Clothing,Oct-2025,879.0,534.0,Recovery,Low,PK-KAR,345,Local Fund,Verified by field officer,REC00172
Sargodha,Clothing,Jun-2026,851.0,820.0,Recovery,Medium,PK-SAR,31,WFP,Delayed due to weather,REC02983
Quetta,Hygiene,11/01/2025,523.0,382.0,Development,Low,PK-QUE,141,WFP,Verified by field officer,REC02524
Peshawar,Water,Jun-2025,695.0,305.0,Seasonal Aid,Low,PK-PES,390,UNICEF,Awaiting confirmation,REC02425
Sargodha,Water,04/01/2026,139.0,45.0,Recovery,High,PK-SAR,94,UNICEF,N/A,REC01518
Multan,Clothing,2025-07-01,257.0,105.0,Development,Medium,PK-MUL,152,USAID,Delayed due to weather,REC00777
Multan,Water,2026-10-01,543.0,345.0,Development,Medium,PK-MUL,198,Local Fund,Verified by field officer,REC00869
Hyderbad,Clothing,Aug-2025,705.0,639.0,Development,Low,PK-HYD,66,UNICEF,Delayed due to weather,REC02089
Hyderabad,Food,2025/04/01,686.0,467.0,Emergency,High,,192,WFP,Verified by field officer,REC01212
Rawalpindi,Medicine,Nov-2025,752.0,497.0,Seasonal Aid,Medium,PK-RAW,255,Govt Relief Fund,Awaiting confirmation,REC02081
Multan,Food,2026/09/01,371.0,149.0,Recovery,High,PK-MUL,222,UNHCR,Reported late,REC00557
Hyderabad,Food,2026/03/01,455.0,269.0,Development,Medium,PK-HYD,186,WFP,N/A,REC01765
Karachi,Clothing,Jul-2025,605.0,420.0,Seasonal Aid,Low,PK-KAR,185,USAID,Verified by field officer,REC01942
Sargodha,Clothing,Oct-2025,713.0,688.0,Seasonal Aid,Low,PK-SAR,25,UNHCR,,REC00512
Multan,Shelter,Oct-2025,472.0,153.0,,Low,PK-MUL,319,Govt Relief Fund,Partial delivery,REC02024
Hyderabad,Medicine,2026-12-01,577.0,529.0,Recovery,Low,PK-HYD,48,Govt Relief Fund,Awaiting confirmation,REC01231
Multan,Shelter,11/01/2026,376.0,393.0,Seasonal Aid,Medium,PK-MUL,-17,WFP,Verified by field officer,REC00656
Lahore,Hygiene,Jul-2025,582.0,435.0,Recovery,High,PK-LAH,147,Govt Relief Fund,Reported late,REC00069
Gujranwala,Medicine,Jan-2026,456.0,156.0,Seasonal Aid,High,PK-GUJ,300,Red Crescent,Delayed due to weather,REC02712
Rawalpindi,Clothing,2026/05/01,716.0,590.0,Development,Low,PK-RAW,126,UNHCR,Awaiting confirmation,REC00672
Hyderabad,Medicine,2026-12-01,606.0,619.0,Recovery,High,PK-HYD,-13,Red Crescent,N/A,REC01606
Hyderabad,Food,06/01/2026,866.0,515.0,Emergency,Medium,PK-HYD,383,UNICEF,,REC00762
Lahore,Medicine,2026/09/01,599.0,329.0,Emergency,Medium,PK-LAH,270,Govt Relief Fund,Reported late,REC00596
Peshawar,Hygiene,07/01/2025,288.0,183.0,Emergency,Low,PK-PES,105,Local Fund,Awaiting confirmation,REC00144
Multan,Water,2026/11/01,346.0,316.0,Recovery,High,PK-MUL,42,UNHCR,Partial delivery,REC01230
Hyderabad,Clothing,Mar-2026,612.0,590.0,Seasonal Aid,Low,PK-HYD,22,Local Fund,,REC01798
Multan,Food,09/01/2026,,688.0,Seasonal Aid,,PK-MUL,83,UNICEF,,REC00905
Bahawalpur,Water,2026/07/01,528.0,229.0,Recovery,Medium,PK-BAH,299,Govt Relief Fund,N/A,REC02537
Gujranwala,Water,2026/10/01,646.0,341.0,Seasonal Aid,High,PK-GUJ,305,UNICEF,Awaiting confirmation,REC01926
Quetta,Water,2025/05/01,348.0,277.0,Recovery,Low,PK-QUE,71,UNICEF,Awaiting confirmation,REC02954
Sargodha,Clothing,2025-05-01,,177.0,Recovery,Low,PK-SAR,65,UNICEF,N/A,REC00830
Faisalabad,Clothing,2025-05-01,670.0,542.0,Emergency,High,PK-FAI,128,Red Crescent,Reported late,REC01326
Quetta,Water,08/01/2025,376.0,252.0,Recovery,Low,PK-QUE,124,UNICEF,N/A,REC00102
Multan,Water,2025/05/01,766.0,242.0,Emergency,High,PK-MUL,524,WFP,,REC02785
Hyderabad,Hygiene,2026/01/01,496.0,223.0,Development,High,PK-HYD,273,WFP,Delayed due to weather,REC01216
Gujranwala,Food,Nov-2026,387.0,327.0,Recovery,Low,PK-GUJ,60,Red Crescent,Awaiting confirmation,REC00489
Karachi,Hygiene,2026-02-01,643.0,373.0,Development,Low,PK-KAR,270,UNHCR,Delayed due to weather,REC01883
Multan,Clothing,2026/12/01,735.0,,Emergency,Low,PK-MUL,219,Local Fund,Reported late,REC02041
Rawalpindi,Water,Mar-2026,358.0,151.0,Seasonal Aid,High,,207,WFP,Delayed due to weather,REC02138
Bahawalpur,Medicine,Sep-2026,,763.0,Recovery,Low,PK-BAH,77,USAID,Delayed due to weather,REC00929
Multan,Hygiene,2025/01/01,812.0,438.0,Recovery,High,PK-MUL,374,WFP,,REC02720
Faisalabad,Water,2026/12/01,703.0,448.0,Emergency,Low,PK-FAI,255,UNHCR,Reported late,REC02600
Quetta,Shelter,03/01/2025,390.0,311.0,Development,Medium,PK-QUE,79,Local Fund,,REC00840
Peshawar,Shelter,2025/01/01,,,Development,High,PK-PES,6,Govt Relief Fund,,REC02618
Multan,Shelter,2025-01-01,537.0,423.0,Development,Medium,PK-MUL,114,Red Crescent,Reported late,REC01576
Multan,Shelter,2025/03/01,111.0,82.0,Recovery,,PK-MUL,29,Local Fund,N/A,REC02771
Faisalabad,Water,11/01/2026,,131.0,Seasonal Aid,High,PK-FAI,116,UNHCR,Verified by field officer,REC00260
Rawalpindi,Clothing,2026/05/01,118.0,122.0,Emergency,Low,PK-RAW,-4,WFP,Awaiting confirmation,REC01793
Rawalpindi,Water,2026/04/01,,442.0,Recovery,High,PK-RAW,85,UNICEF,Awaiting confirmation,REC00342
Lahore,Clothing,2026/06/01,164.0,158.0,Development,Medium,PK-LAH,6,Red Crescent,Partial delivery,REC01744
Karachi,Food,Feb-2025,652.0,391.0,Development,Medium,PK-KAR,261,WFP,,REC01488
Sargoda,Shelter,2026-03-01,336.0,217.0,Seasonal Aid,Low,PK-SAR,119,UNICEF,Delayed due to weather,REC02973
Gujranwala,Shelter,08/01/2025,872.0,888.0,Development,Medium,PK-GUJ,-16,UNHCR,,REC02792
Hyderabad,Food,02/01/2026,425.0,355.0,Seasonal Aid,High,PK-HYD,70,USAID,Delayed due to weather,REC00337
Bahawalpur,Water,03/01/2025,661.0,251.0,Recovery,High,PK-BAH,410,UNHCR,Awaiting confirmation,REC00153
Quetta,Clothing,2025-11-01,595.0,280.0,Recovery,High,PK-QUE,315,UNHCR,Partial delivery,REC01985
Bahawalpur,Clothing,2026/06/01,502.0,326.0,Emergency,Medium,PK-BAH,176,Govt Relief Fund,Awaiting confirmation,REC00843
Gujranwala,Clothing,2026/12/01,499.0,378.0,Recovery,Low,PK-GUJ,121,Govt Relief Fund,Awaiting confirmation,REC00587
Quetta,Hygiene,10/01/2025,155.0,66.0,Recovery,Medium,PK-QUE,89,WFP,Partial delivery,REC02343
Sialkot,Food,2025/02/01,287.0,184.0,Seasonal Aid,High,PK-SIA,103,USAID,N/A,REC00339
Bahawalpur,Shelter,2025-06-01,556.0,204.0,Emergency,Medium,PK-BAH,352,Local Fund,Awaiting confirmation,REC02961
Karachi,Hygiene,2026-04-01,,199.0,Seasonal Aid,High,PK-KAR,65,Red Crescent,Awaiting confirmation,REC02886
Sargodha,Medicine,2026/11/01,480.0,,Development,Medium,PK-SAR,132,WFP,Reported late,REC02003
Lahore,Food,2025/10/01,307.0,154.0,Development,Medium,PK-LAH,153,Red Crescent,Delayed due to weather,REC01935
Hyderabad,Food,2026/02/01,663.0,346.0,Seasonal Aid,Medium,PK-HYD,317,WFP,Delayed due to weather,REC02669
Hyderabad,Water,04/01/2026,187.0,191.0,Emergency,Low,PK-HYD,-4,USAID,,REC00237
Quetta,Water,Nov-2026,445.0,400.0,Seasonal Aid,Medium,PK-QUE,12,Red Crescent,Partial delivery,REC02585
Rawalpindi,Water,2025-04-01,248.0,170.0,Seasonal Aid,High,PK-RAW,78,Red Crescent,N/A,REC01438
Sargodha,Food,2025-04-01,686.0,638.0,Development,High,PK-SAR,85,Govt Relief Fund,Delayed due to weather,REC00789
Peshawar,Medicine,01/01/2026,221.0,172.0,Development,Low,PK-PES,49,UNHCR,,REC01858
Faisalabad,Hygiene,2025/07/01,255.0,83.0,Recovery,Medium,PK-FAI,172,UNICEF,Partial delivery,REC00908
Gujranwala,Shelter,08/01/2025,518.0,379.0,Emergency,High,PK-GUJ,139,Local Fund,Delayed due to weather,REC01452
Sialkot,Medicine,03/01/2026,674.0,500.0,Development,High,PK-SIA,174,WFP,Partial delivery,REC02493
Peshawar,Shelter,2025-02-01,781.0,437.0,Development,High,PK-PES,344,USAID,Delayed due to weather,REC01545
Bahawalpur,Shelter,2025/04/01,96.0,79.0,Seasonal Aid,Medium,PK-BAH,17,Govt Relief Fund,Awaiting confirmation,REC02377
Bahawalpur,Shelter,Mar-2026,827.0,738.0,Emergency,High,PK-BAH,89,USAID,Verified by field officer,REC00108
Quetta,Medicine,May-2026,499.0,283.0,Seasonal Aid,Medium,PK-QUE,216,UNICEF,N/A,REC00080
Rawalpindi,Clothing,Jan-2025,848.0,779.0,Seasonal Aid,Medium,PK-RAW,84,WFP,Awaiting confirmation,REC01801
Karachi,Medicine,06/01/2025,498.0,272.0,Seasonal Aid,Medium,PK-KAR,226,WFP,N/A,REC01509
Peshawar,Clothing,Mar-2025,892.0,826.0,Seasonal Aid,Low,PK-PES,66,USAID,Awaiting confirmation,REC01855
Quetta,Shelter,2025/01/01,495.0,405.0,Recovery,Low,PK-QUE,90,Local Fund,Partial delivery,REC02980
Multan,Shelter,2025-02-01,620.0,268.0,Recovery,Medium,PK-MUL,352,USAID,Awaiting confirmation,REC00995
Sargodha,Shelter,09/01/2025,345.0,131.0,Emergency,Low,PK-SAR,214,UNHCR,Reported late,REC02741
Gujranwala,Water,2025/04/01,115.0,66.0,Emergency,Medium,PK-GUJ,49,USAID,Partial delivery,REC02415
Faisalabad,Clothing,2025-06-01,156.0,116.0,Emergency,Low,PK-FAI,40,Red Crescent,Verified by field officer,REC00935
Bahawalpur,Clothing,2026-10-01,639.0,214.0,Emergency,Low,,425,Local Fund,Verified by field officer,REC00620
Sialkot,Water,2026-09-01,573.0,237.0,Recovery,High,PK-SIA,336,Local Fund,Delayed due to weather,REC02509
Peshawar,Hygiene,2026/05/01,598.0,336.0,Seasonal Aid,Low,PK-PES,262,UNHCR,N/A,REC01772
Rawalpindi,Shelter,2026-04-01,85.0,32.0,Development,Medium,PK-RAW,53,USAID,Awaiting confirmation,REC01161
Gujranwala,Hygiene,04/01/2025,859.0,599.0,Seasonal Aid,Low,PK-GUJ,260,Local Fund,N/A,REC01582
Lahore,Food,May-2026,588.0,422.0,Emergency,Medium,PK-LAH,166,Govt Relief Fund,Partial delivery,REC02116
Lahore,Hygiene,2026-06-01,240.0,177.0,Emergency,Low,PK-LAH,63,Govt Relief Fund,Verified by field officer,REC02641
Faisalabad,Food,09/01/2025,857.0,792.0,Emergency,Medium,PK-FAI,65,Red Crescent,,REC02165
Karachi,Clothing,07/01/2026,834.0,373.0,Emergency,High,PK-KAR,461,WFP,Verified by field officer,REC02221
Gujranwala,Hygiene,2025/12/01,363.0,239.0,Seasonal Aid,Medium,PK-GUJ,124,WFP,Awaiting confirmation,REC01108
Lahore,Hygiene,05/01/2026,543.0,202.0,Development,High,PK-LAH,341,Local Fund,Awaiting confirmation,REC01261
Multan,Hygiene,2025/03/01,347.0,286.0,Development,Medium,PK-MUL,61,UNHCR,Partial delivery,REC02153
Gujranwala,Hygiene,Dec-2026,409.0,267.0,Seasonal Aid,Medium,PK-GUJ,142,USAID,Partial delivery,REC01730
Rawalpindi,Clothing,04/01/2026,544.0,205.0,Emergency,Medium,PK-RAW,339,UNICEF,Awaiting confirmation,REC01424
Quetta,Shelter,Nov-2025,245.0,250.0,Seasonal Aid,Medium,PK-QUE,-5,UNHCR,Delayed due to weather,REC01093
Sialkot,Hygiene,Apr-2025,469.0,367.0,Emergency,Low,PK-SIA,102,Local Fund,Delayed due to weather,REC02581
Peshawar,Hygiene,2026/11/01,887.0,555.0,Emergency,High,PK-PES,332,UNICEF,,REC01630
Bahawalpur,Shelter,2025-03-01,871.0,292.0,Development,Low,PK-BAH,579,USAID,Partial delivery,REC02052
Karachi,Medicine,2025/10/01,774.0,619.0,Emergency,Low,PK-KAR,155,UNICEF,N/A,REC00766
Rawalpindi,Clothing,2025-06-01,312.0,153.0,Recovery,Low,PK-RAW,159,Govt Relief Fund,Awaiting confirmation,REC00733
Sialkot,Clothing,Dec-2026,292.0,186.0,Recovery,Medium,PK-SIA,106,UNICEF,Verified by field officer,REC01698
Faisalabad,Clothing,2026-02-01,411.0,169.0,Recovery,Low,PK-FAI,242,UNICEF,Awaiting confirmation,REC00019
Faisalabad,Hygiene,Aug-2026,349.0,217.0,Development,Low,PK-FAI,132,Local Fund,,REC01874
Karachi,Shelter,2025-11-01,774.0,444.0,Seasonal Aid,Low,PK-KAR,330,UNHCR,Reported late,REC02446
Lahore,Water,May-2026,370.0,143.0,Development,Medium,PK-LAH,227,USAID,N/A,REC00055
Quetta,Water,2025/04/01,486.0,226.0,Emergency,High,PK-QUE,260,USAID,Delayed due to weather,REC01079
Bahawalpur,Hygiene,02/01/2025,300.0,241.0,Emergency,Medium,PK-BAH,59,UNHCR,Partial delivery,REC00348
Bahawalpur,Clothing,2025-07-01,170.0,125.0,Development,Medium,PK-BAH,45,UNICEF,Reported late,REC02521
Bahawalpur,Medicine,Dec-2025,,,Development,Medium,PK-BAH,97,UNHCR,,REC02864
Peshawar,Clothing,2025-03-01,112.0,46.0,Seasonal Aid,Medium,PK-PES,66,USAID,Reported late,REC00063
Peshawar,Food,2025/10/01,149.0,140.0,Recovery,Low,PK-PES,9,Red Crescent,Awaiting confirmation,REC00808
Peshawar,Shelter,Jan-2025,208.0,123.0,,Medium,PK-PES,85,USAID,Verified by field officer,REC00528
Sialkot,Hygiene,Aug-2025,520.0,264.0,Development,High,PK-SIA,256,UNHCR,,REC00531
Peshawar,Food,2025-11-01,183.0,156.0,Emergency,Medium,PK-PES,27,USAID,,REC01441
Sargodha,Food,09/01/2026,771.0,,Seasonal Aid,High,PK-SAR,81,UNICEF,Verified by field officer,REC00682
Bahawalpur,Clothing,2025-09-01,325.0,118.0,Recovery,High,PK-BAH,207,WFP,Partial delivery,REC00064
Sialkot,Food,Aug-2025,108.0,80.0,Seasonal Aid,Medium,PK-SIA,28,Red Crescent,Verified by field officer,REC00910
Karachi,Medicine,Dec-2025,778.0,605.0,Development,Medium,PK-KAR,173,UNHCR,Delayed due to weather,REC02633
Lahore,Medicine,02/01/2025,150.0,146.0,Development,Medium,PK-LAH,4,Govt Relief Fund,,REC01248
Bahawalpur,Water,2026-08-01,477.0,488.0,Emergency,Medium,PK-BAH,-11,UNHCR,Reported late,REC02374
Karachi,Shelter,11/01/2026,730.0,293.0,Recovery,High,PK-KAR,437,Local Fund,Delayed due to weather,REC00219
Faisalabad,Clothing,Dec-2025,379.0,228.0,Emergency,Medium,PK-FAI,151,USAID,Delayed due to weather,REC01333
Sialkot,Clothing,Jul-2026,707.0,672.0,Seasonal Aid,High,PK-SIA,35,UNICEF,Verified by field officer,REC01573
Hyderabad,Food,Mar-2025,187.0,106.0,Recovery,Medium,PK-HYD,81,Govt Relief Fund,N/A,REC00522
Karachi,Medicine,2026-06-01,396.0,209.0,Recovery,Medium,PK-KAR,187,Local Fund,N/A,REC01273
Karachi,Medicine,07/01/2025,318.0,178.0,Emergency,High,PK-KAR,140,Red Crescent,,REC01172
Gujranwala,Hygiene,Nov-2025,725.0,397.0,Seasonal Aid,High,PK-GUJ,328,Govt Relief Fund,N/A,REC00099
Gujranwala,Water,07/01/2025,376.0,354.0,Seasonal Aid,Low,PK-GUJ,22,Local Fund,Awaiting confirmation,REC01460
Hyderabad,Clothing,2026-07-01,755.0,325.0,Emergency,High,PK-HYD,430,UNHCR,,REC00016
Bahawalpur,Water,2026-12-01,887.0,899.0,Emergency,Low,PK-BAH,-12,Local Fund,Reported late,REC01559
Sargodha,Medicine,2026-06-01,842.0,458.0,Development,Low,PK-SAR,384,WFP,Partial delivery,REC00159
Quetta,Food,Sep-2026,878.0,838.0,Seasonal Aid,High,PK-QUE,40,Local Fund,N/A,REC00892
Lahore,Medicine,2025-09-01,745.0,667.0,Emergency,Low,PK-LAH,72,Govt Relief Fund,Verified by field officer,REC01360
Quetta,Water,2025/07/01,226.0,194.0,Emergency,Medium,PK-QUE,32,Local Fund,Delayed due to weather,REC01381
Multan,Water,05/01/2025,721.0,599.0,Recovery,High,PK-MUL,97,Red Crescent,Awaiting confirmation,REC00640
Bahawalpur,Food,May-2026,455.0,383.0,Seasonal Aid,Medium,PK-BAH,72,USAID,Delayed due to weather,REC01042
Multan,Shelter,Nov-2025,395.0,193.0,Seasonal Aid,Low,PK-MUL,202,UNICEF,Verified by field officer,REC02050
Multan,Shelter,11/01/2025,790.0,571.0,Seasonal Aid,Medium,PK-MUL,219,Red Crescent,Delayed due to weather,REC02420
Sialkot,Hygiene,2025-12-01,765.0,362.0,Emergency,Medium,PK-SIA,403,Govt Relief Fund,Delayed due to weather,REC01446
Quetta,Hygiene,Jun-2026,332.0,347.0,Emergency,Medium,PK-QUE,-15,Local Fund,Verified by field officer,REC00985
Lahore,Medicine,2026/07/01,403.0,354.0,Seasonal Aid,High,PK-LAH,49,UNICEF,Awaiting confirmation,REC01756
Quetta,Shelter,2026-01-01,678.0,444.0,Seasonal Aid,High,PK-QUE,234,WFP,Partial delivery,REC02798
Bahawalpur,Water,2026-03-01,420.0,136.0,Emergency,Medium,PK-BAH,284,USAID,,REC01497
Peshawar,Hygiene,Oct-2026,668.0,295.0,Recovery,High,PK-PES,373,Red Crescent,,REC01909
Sialkot,Hygiene,06/01/2026,225.0,210.0,Development,High,PK-SIA,15,Local Fund,Delayed due to weather,REC00291
Faisalabad,Food,May-2025,107.0,55.0,Recovery,High,PK-FAI,52,USAID,,REC01416
Sargodha,Food,Nov-2025,619.0,494.0,Development,High,PK-SAR,125,UNHCR,Reported late,REC02463
Hyderabad,Medicine,2026-11-01,318.0,282.0,Development,Low,PK-HYD,36,UNICEF,Reported late,REC02767
Faisalabad,Hygiene,2026/06/01,404.0,187.0,Emergency,Medium,PK-FAI,217,UNICEF,Delayed due to weather,REC01255
Karachi,Medicine,2026/05/01,855.0,878.0,Development,Medium,PK-KAR,-23,Local Fund,Delayed due to weather,REC01774
Gujranwala,Shelter,2026-01-01,782.0,447.0,Seasonal Aid,Low,PK-GUJ,335,UNICEF,,REC00333
Gujranwala,Clothing,07/01/2025,391.0,249.0,Emergency,Medium,PK-GUJ,142,Local Fund,Delayed due to weather,REC01437
Sargodha,Food,2026-02-01,568.0,513.0,Development,Low,PK-SAR,55,Red Crescent,,REC02609
Hyderabad,Shelter,Apr-2025,219.0,202.0,Seasonal Aid,High,PK-HYD,17,UNHCR,Awaiting confirmation,REC00915
Karachi,Medicine,May-2026,201.0,175.0,Recovery,Low,PK-KAR,26,Red Crescent,Awaiting confirmation,REC01550
Quetta,Food,2026-06-01,442.0,347.0,Emergency,Low,PK-QUE,95,USAID,Awaiting confirmation,REC00970
Quetta,Clothing,2026/05/01,590.0,606.0,Seasonal Aid,High,PK-QUE,-12,UNICEF,Delayed due to weather,REC01463
Karachi,Medicine,07/01/2026,314.0,245.0,Recovery,High,PK-KAR,69,USAID,Delayed due to weather,REC00834
sialkot,Hygiene,Jan-2026,676.0,408.0,Emergency,High,PK-SIA,268,Govt Relief Fund,Verified by field officer,REC01191
Multan,Medicine,07/01/2025,768.0,688.0,Emergency,Medium,PK-MUL,80,Govt Relief Fund,Delayed due to weather,REC00647
Faisalabad,Shelter,05/01/2026,498.0,270.0,Seasonal Aid,High,PK-FAI,228,Local Fund,Delayed due to weather,REC01278
Peshawar,Medicine,2026-01-01,499.0,461.0,Seasonal Aid,Low,PK-PES,38,Local Fund,N/A,REC01635
Multan,Medicine,2025-09-01,482.0,254.0,Development,Low,PK-MUL,228,Red Crescent,Awaiting confirmation,REC00266
Multan,Hygiene,2025-06-01,574.0,554.0,Development,Medium,PK-MUL,20,Red Crescent,,REC00369
Hyderabad,Clothing,Feb-2025,613.0,619.0,Development,Low,PK-HYD,-6,Red Crescent,Verified by field officer,REC01262
Karachi,food,2025/03/01,447.0,231.0,Emergency,Medium,PK-KAR,216,WFP,Reported late,REC02091
Hyderabad,Water,2025/11/01,295.0,271.0,Recovery,Low,PK-HYD,24,Govt Relief Fund,Reported late,REC00123
Bahawalpur,Medicine,12/01/2025,841.0,398.0,Emergency,High,PK-BAH,443,UNICEF,N/A,REC01432
Sargodha,Shelter,2025/01/01,752.0,265.0,Development,High,PK-SAR,487,Red Crescent,Reported late,REC00664
Faisalabad,Water,2026/07/01,365.0,257.0,Development,Medium,PK-FAI,96,UNICEF,Delayed due to weather,REC02584
Multan,Clothing,May-2025,480.0,191.0,Emergency,Low,PK-MUL,289,UNHCR,,REC01313
Quetta,Shelter,2026-01-01,766.0,238.0,Recovery,High,PK-QUE,528,UNICEF,Reported late,REC00469
Gujranwala,Shelter,2025-08-01,415.0,301.0,Recovery,High,PK-GUJ,78,Govt Relief Fund,Verified by field officer,REC00314
Faisalabad,Medicine,2025-06-01,594.0,452.0,Emergency,Low,PK-FAI,142,UNICEF,Delayed due to weather,REC02518
Gujranwala,Clothing,09/01/2025,855.0,779.0,Seasonal Aid,Medium,PK-GUJ,76,Red Crescent,Verified by field officer,REC02450
Quetta,Food,2025/02/01,413.0,300.0,Recovery,High,PK-QUE,113,Local Fund,N/A,REC01487
Sargodha,Medicine,03/01/2026,281.0,196.0,Emergency,High,PK-SAR,85,UNICEF,Verified by field officer,REC02284
Peshawar,Clothing,11/01/2026,737.0,241.0,Development,Medium,PK-PES,496,Local Fund,Verified by field officer,REC01293
Lahore,Clothing,Mar-2025,415.0,171.0,Seasonal Aid,High,PK-LAH,244,WFP,Partial delivery,REC02161
Faisalabad,Hygiene,09/01/2026,119.0,71.0,Recovery,High,PK-FAI,48,Local Fund,N/A,REC00241
Peshawar,Hygiene,Aug-2026,337.0,115.0,Recovery,High,PK-PES,222,Red Crescent,Verified by field officer,REC01406
Bahawalpur,Hygiene,2025/12/01,424.0,294.0,Development,Medium,PK-BAH,130,USAID,N/A,REC02680
Rawalpindi,Water,2026-09-01,113.0,63.0,Recovery,High,PK-RAW,50,Local Fund,Delayed due to weather,REC01607
Sargodha,Medicine,Dec-2026,227.0,152.0,Seasonal Aid,High,PK-SAR,75,UNHCR,Awaiting confirmation,REC02519
Multan,Water,2025/03/01,343.0,239.0,Development,Low,PK-MUL,104,Local Fund,Partial delivery,REC00756
Gujranwala,Hygiene,2026/07/01,90.0,50.0,Development,Low,PK-GUJ,40,Local Fund,,REC02106
Sargodha,Clothing,12/01/2025,284.0,260.0,Development,Low,PK-SAR,24,UNICEF,Delayed due to weather,REC00827
Bahawalpur,Clothing,2026-07-01,471.0,287.0,Seasonal Aid,High,PK-BAH,184,WFP,Verified by field officer,REC00506
Quetta,Hygiene,Sep-2025,96.0,99.0,Emergency,,PK-QUE,-3,Local Fund,Verified by field officer,REC01428
Faisalabad,Medicine,2026/12/01,550.0,533.0,Recovery,Medium,PK-FAI,17,UNHCR,Reported late,REC00473
Faisalabad,Medicine,2026-09-01,538.0,520.0,Recovery,High,PK-FAI,18,Local Fund,Reported late,REC02844
Sialkot,Food,10/01/2025,484.0,291.0,Recovery,Low,PK-SIA,193,USAID,Awaiting confirmation,REC01934
Gujranwala,Hygiene,2026/12/01,283.0,100.0,Seasonal Aid,Medium,PK-GUJ,183,USAID,Delayed due to weather,REC01147
Hyderabad,Hygiene,2026/09/01,542.0,197.0,Development,High,PK-HYD,345,Red Crescent,,REC01528
Bahawalpur,Shelter,2025/06/01,867.0,260.0,Recovery,High,PK-BAH,567,Red Crescent,Delayed due to weather,REC01873
quetta,Water,12/01/2025,109.0,35.0,Seasonal Aid,High,PK-QUE,102,USAID,Awaiting confirmation,REC00271
Rawalpindi,Hygiene,2025-04-01,588.0,533.0,Recovery,Medium,PK-RAW,55,WFP,Awaiting confirmation,REC00281
Peshawar,Water,Nov-2026,158.0,125.0,Seasonal Aid,High,PK-PES,33,WFP,N/A,REC00113
Lahore,Water,2026-08-01,896.0,845.0,Development,Low,PK-LAH,51,USAID,Verified by field officer,REC00158
Sargodha,Water,Jul-2026,527.0,472.0,Recovery,High,PK-SAR,55,WFP,Partial delivery,REC02796
Multan,Medicine,07/01/2025,726.0,456.0,Seasonal Aid,Low,PK-MUL,291,WFP,N/A,REC01103
